Mnemonic,ISIN,Issuer Name
COST,GB00B64NSP76,COSTAIN GROUP PLC
CAPD,BMG022411000,CAPITAL LD
PHAR,GB00B572ZV91,PHAROS ENERGY PLC
SGC,GB00B6YTLS95,STAGECOACH GROUP PLC
FOXT,GB00BCKFY513,FOXTONS GROUP PLC
AO.,GB00BJTNFH41,AO WORLD PLC
CARD,GB00BLY2F708,CARD FACTORY PLC
TET,GB00BKS7YK08,TREATT PLC
ESP,GB00BLWDVR75,EMPIRIC STUDENT PROPERTY PLC
DTY,GB00BRB37M78,DIGNITY PLC
GLE,GB00BRKD9Z53,MJ GLEESON PLC
CARR,GB00BRK01058,CARR'S GROUP PLC
DFS,GB00BTC0LB89,DFS FURNITURE PLC
NXR,GB00BYYJL418,NORCROS PLC
HSW,GB00BYYN4225,HOSTELWORLD GROUP PLC
GYM,GB00BZBX0P70,THE GYM GROUP PLC
MTRO,GB00BZ6STL67,METRO BANK PLC
FORT,GB00BYYW3C20,FORTERRA PLC
HWG,GB00BYZJ7G42,HARWORTH GROUP PLC
MOTR,GB00BD0SFR60,MOTORPOINT GROUP PLC
KMR,IE00BDC5DG00,KENMARE RESOURCES PLC
NRR,GB00BD7XPJ64,NEWRIVER REIT PLC
BOWL,GB00BD0NVK62,HOLLYWOOD BOWL GROUP PLC
LUCE,GB00BZC0LP49,LUCECO PLC
XPS,GB00BDDN1T20,XPS PENSIONS GROUP PLC
UPGS,GB00BYX7MG58,UP GLOBAL SOURCING HOLDINGS PLC
MGP,GB00BYV24996,MEDICA GROUP PLC
TEG,GB00BF020D33,TEN ENTERTAINMENT GROUP PLC
ALFA,GB00BDHXPG30,ALFA FINANCIAL SOFTWARE HOLDINGS PL
BAKK,GB00BF8J3Z99,BAKKAVOR GROUP PLC
SBRE,GB00BYWVDP49,SABRE INSURANCE GROUP PLC
DWF,GB00BJMD6M39,DWF GROUP PLC
APTD,GB00BJV2F804,APTITUDE SOFTWARE GROUP PLC
GFRD,GB00BKY40Q38,GALLIFORD TRY HOLDINGS PLC
CAL,GB00BL6XZ716,CAPITAL & REGIONAL PLC
HYVE,GB00BKP36R26,HYVE GROUP PLC
SAGA,GB00BMX64W89,SAGA PLC
WIX,GB00BL6C2002,WICKES GROUP PLC
MADE,GB00BNXM7M46,MADE.COM GROUP PLC
RWI,GB00BNR4T868,RENEWI PLC
WPS,GB00BLGXWY71,W.A.G PAYMENT SOLUTIONS PLC
MORE,GB00BMV9MD66,HOSTMORE PLC
PODP,GB00BNDRD100,POD POINT GROUP HOLDINGS PLC
PROC,GB00BNRR8331,PROCOOK GROUP PLC
PDL,BMG702782084,PETRA DIAMONDS LD
GDWN,GB0003781050,GOODWIN PLC
PCTN,GB00B0LCW208,PICTON PROPERTY INCOME LD
LAM,GB00B1CL5249,LAMPRELL PLC
STVG,GB00B3CX3644,STV GROUP PLC
PCA,GB00BF5SGF06,PALACE CAPITAL PLC
RM.,GB00BJT0FF39,RM PLC
RIV,GB00BLZH7X42,RIVER AND MERCANTILE GROUP PLC
FCH,GB00BG0TPX62,FUNDING CIRCLE HOLDINGS PLC
FSG,GG00BMD8MJ76,FORESIGHT GROUP HOLDINGS LIMITED
CINE,GB00B15FWH70,CINEWORLD GROUP PLC
CPI,GB00B23K0M20,CAPITA PLC
BNC,ES0113900J37,BANCO SANTANDER S.A.
SDRC,GB0002395811,SCHRODERS PLC
SOLG,GB00B0WD0R35,SOLGOLD PLC
GENL,JE00B55Q3P39,GENEL ENERGY PLC
SEPL,NGSEPLAT0008,SEPLAT ENERGY PLC
NSF,GB00BRJ6JV17,NON-STANDARD FINANCE PLC
S32,AU000000S320,SOUTH32 LIMITED
CRN,IE00BWY4ZF18,CAIRN HOMES PLC
GKP,BMG4209G2077,GULF KEYSTONE PETROLEUM LD
OMU,ZAE000255360,OLD MUTUAL LIMITED
SFOR,GB00BFZZM640,S4 CAPITAL PLC
CCEP,GB00BDCPN049,COCA-COLA EUROPACIFIC PARTNERS PLC
ADT1,GB00BL0L5G04,ADRIATIC METALS PLC
THG,GB00BMTV7393,THG PLC
WPM,CA9628791027,WHEATON PRECIOUS METALS CORP.
TGA,ZAE000296554,THUNGELA RESOURCES LIMITED
WISE,GB00BL9YR756,WISE PLC
BHP,AU000000BHP4,BHP GROUP LIMITED
APF,GB0006449366,ANGLO PACIFIC GROUP PLC
G3E,KYG409381053,G3 EXPLORATION LD
BVA,ES0113211835,BANCO BILBAO VIZCAYA ARGENTARIA S.A
TTE,FR0000120271,TOTALENERGIES SE
COD,FR0000125007,COMPAGNIE DE ST-GOBAIN
IL0A,IE00BWB8X525,PERMANENT TSB GROUP HOLDINGS PLC
GPH,GB00BD2ZT390,GLOBAL PORTS HOLDING PLC
GLV,IE00BD6JX574,GLENVEAGH PROPERTIES PLC
KOS,US5006881065,KOSMOS ENERGY LD
RSG,AU000000RSG6,RESOLUTE MINING LIMITED
HANA,BMG428941089,HANSA INVESTMENT COMPANY LIMITED
PRE,GB00BKM0ZJ18,PENSANA PLC
CRE,BMG243851091,CONDUIT HOLDINGS LD
BOCH,IE00BD5B1Y92,BANK OF CYPRUS HOLDINGS PLC
ROO,GB00BNC5T391,DELIVEROO PLC
AWE,GB00BNDRMJ14,ALPHAWAVE IP GROUP PLC
ONT,GB00BP6S8Z30,OXFORD NANOPORE TECHNOLOGIES PLC
PYX,AU0000078487,PYX RESOURCES LIMITED
HPA1,GG00BMCP7B62,HAMBRO PERKS ACQUISITION COMPANY LI
HMA1,LU2420558889,HIRO METAVERSE ACQUISITIONS I S.A.
FINS,KYG3439B1032,FINANCIALS ACQUISITION CORP
ALNA,GB00B1VS7G47,ALINA HOLDINGS PLC
KSK,IM00B1G29327,KSK POWER VENTUR PLC
NEOA,GB00BNZHM998,NEW ENERGY ONE ACQUISITION CORP PLC
DAL,IE00BJMZDW83,DALATA HOTEL GROUP PLC
NFX,GB00BYW79Y38,NUFORMIX PLC
LRE,BMG5361W1047,LANCASHIRE HOLDINGS LD
BWY,GB0000904986,BELLWAY PLC
BBY,GB0000961622,BALFOUR BEATTY PLC
CLDN,GB0001639920,CALEDONIA INVESTMENTS PLC
BRW,GB0001765816,BREWIN DOLPHIN HLDGS PLC
DPLM,GB0001826634,DIPLOMA PLC
VTY,GB0001859296,VISTRY GROUP PLC
CKN,GB0002018363,CLARKSON PLC
GNS,GB0002074580,GENUS PLC
RAT,GB0002148343,RATHBONES GROUP PLC
CWK,GB0002318888,CRANSWICK PLC
DLN,GB0002652740,DERWENT LONDON PLC
BYG,GB0002869419,BIG YELLOW GROUP PLC
SXS,GB0003308607,SPECTRIS PLC
GAW,GB0003718474,GAMES WORKSHOP GROUP PLC
HAS,GB0004161021,HAYS PLC
HILS,GB0004270301,HILL & SMITH HLDGS PLC
MGAM,GB0006027295,MORGAN ADVANCED MATERIALS PLC
NEX,GB0006215205,NATIONAL EXPRESS GROUP PLC
ERM,GB0006886666,EUROMONEY INSTITUTIONAL INVEST.PLC
UTG,GB0006928617,UNITE GROUP PLC
RSW,GB0007323586,RENISHAW PLC
CBG,GB0007668071,CLOSE BROS GROUP PLC
SRP,GB0007973794,SERCO GROUP PLC
SHB,GB0007990962,SHAFTESBURY PLC
TEP,GB0008794710,TELECOM PLUS PLC
ULE,GB0009123323,ULTRA ELECTRONICS HOLDINGS PLC
VCT,GB0009292243,VICTREX PLC
WEIR,GB0009465807,WEIR GROUP PLC
BAB,GB0009697037,BABCOCK INTERNATIONAL GROUP PLC
SYNT,GB0009887422,SYNTHOMER PLC
PAGE,GB0030232317,PAGEGROUP PLC
CCL,GB0031215220,CARNIVAL PLC
MKS,GB0031274896,MARKS & SPENCER GROUP PLC
MSLH,GB00B012BV22,MARSHALLS PLC
CNA,GB00B033F229,CENTRICA PLC
GRI,GB00B04V1276,GRAINGER PLC
IGG,GB00B06QFB75,IG GROUP HOLDINGS PLC
ESNT,GB00B0744359,ESSENTRA PLC
